@relation 'final-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2'

@attribute Plant.start numeric
@attribute harvested.area numeric
@attribute temp.at.planting numeric
@attribute precip.at.planting numeric
@attribute Crop.name {Wheat,Maize,Beans,Potato,Barley,Rice,Sorghum,Potatoes,Millet,'Winter Wheat',Cotton,'Potato (main)','Winter Rye','Spring Barley','Maize (main)','Maize (second)',Cassava,Yams,Soybean,'Sweet Potato','Beans (main)','Sorghum (main)','Sorghum (second)','Main Wet Season Rice','Dry Season Rice',Pulses,Sugarbeet,'Rice (main)','Rice (second)','Sweet Potatoes','Soya Bean','Potato (Main Season)','Maize (main crop)','Maize (off season crop)','Rice (main crop)','Rice (off season crop)','Wheat (Meher)','Maize (Meher)','Sorghum (Meher)','Millet (Meher)','Oats (Meher)','Barley (Meher)',Groundnut,'Rice (main season)','Rice (second season)','Spring Wheat','Wheat (long rains)','Maize (long rains)','Maize (short rains)','Millet (long rains)','Sorghum (long rains)','Sorghum (short rains)','Barley (long rains)','Beans (long rains)','Rice (wet season)','Rice (dry season)',Sunflower,'Rice (rainfed)','Rice (irrigated)','Rice (off-season)','Winter wheat','Rice (upland)',Cowpea,'Maize (Gu)','Maize (Der)','Millet (main)',Peanut,'Aman rice','Boro rice','Corn (1)',Corn,'Single-crop rice','Early double-crop rice','Late double-crop rice','Spring wheat',Groundnuts,'Winter Rapeseed',Oat,'Barley (winter)',Rapeseed,Sugarbeets,'Winter Barley',Rye,'Sorghum (summer)','Sorghum (winter)',Oats,'Soft wheat','Durum wheat','Winter barley','Spring barley','Winter rapeseed',Sunseed,Soybeans,'Rice (second crop)','Tenth month Rice','Winter-spring Rice','Rice, main crop','Corn, first crop','Corn, Dry season','Corn, rainy season','Corn (2)','Barley - spring','Barley - winter','Beans - dry','Oats - spring','Oats - winter',Peanuts,'Potatoes - fall',Sunflowers,'Sweet potatoes','Wheat - spring','Wheat - winter','Paddy - I','Paddy - II',Bajra,'Jowar (Kharif)','Jowar (Rabi)','Groundnut (Kharif)','Paddy (Kharif)','Paddy (Rabi)',Rape,'Bajra (Kharif)','Wheat (Rabi)','Maize (Kharif)',Paddy,'Cotton (Hybrid)',Jowar,'Cotton (Kharif)','Sunflower (Kharif)','Soyabean (Kharif)','Groundnut (Rabi)',Mung,'Ragi (Kharif)',Gram,'Aman paddy/Kharif','Boro paddy/Rabi','Broom Millet','Cotton (coast)','Cotton (lake)',Sunflowerseed,'Irish Potatoes','Rice (main - north region)','Rice (main - south region)','Rice (second - north region)','Rice (second - south region)','Peanuts (north)','Peanuts (south)','Soybeans (north)','Soybeans (east)','Sweet Potatoes (north)','Sweet Potatoes (south)','Cotton (Gu)','Beans (Gu)','Corn (north - vuli rains)','Millet (north)','Rice (north)','Cotton (west)','Cotton (east)','Soybeans (south)','Wheat (summer)','Sorghum (Gu)','Sorghum (Deyr)'}

@data
91,9496.941085,14.237356,51.843959,Barley
289,17.272217,5.640532,136.979473,Barley
289,502.430824,5.746554,72.719549,Barley
94,7729.397513,8.569848,44.898203,Barley
91,56.090423,19.707964,19.257204,Barley
72,1.965562,15.348152,46.881298,Rice
284,34.748178,22.225171,175.622712,Rice
91,191.101414,30.024813,88.311554,Rice
305,1475.381216,25.412251,118.279749,Rice
335,358.061175,25.682768,2.531821,Rice
121,160.420826,23.786013,190.297414,Rice
121,130.40967,24.265436,191.281167,Rice
152,273.615134,25.97105,184.330471,Rice
284,252.986065,15.208848,26.647035,Rice
40,4456.206435,22.645799,122.28119,Rice
182,1682.175224,22.316066,170.551932,Rice
335,2766.042541,22.69615,166.193925,Rice
101,5974.425028,10.538897,64.939369,Rice
284,3360.266607,22.342985,86.560117,Rice
112,6201.184188,24.28636,0.857358,Rice
314,88.171084,25.588245,269.809125,Rice
152,138.223456,28.284827,162.450689,Rice
91,556.495846,27.757837,146.735205,Rice
121,596.931455,27.249435,146.344618,Rice
91,144.429283,24.00247,172.580235,Rice
121,4547.180115,24.966453,313.457594,Rice
152,519.99638,26.894371,394.839131,Rice
101,1363.731875,26.804344,239.565099,Rice
101,5259.369237,14.417712,40.800537,Rice
91,4852.520582,26.523387,158.04228,Rice
132,18035.07789,19.015292,204.833683,Rice
91,1175.871012,25.527729,310.237938,Rice
111,34.228913,13.597318,66.700504,Rice
305,10504.99226,23.806352,240.411178,Rice
314,284.410056,24.265507,178.982947,Rice
161,3474.993501,25.736096,186.010868,Rice
223,318.897688,25.906331,253.751867,Rice
101,764.883382,26.917357,147.679294,Rice
141,15114.88626,26.332429,390.570695,Rice
102,981.338488,26.043483,245.856464,Rice
283,280.715647,23.976547,165.746617,Rice
344,2909.629847,15.131405,126.643439,Rice
152,702.941955,28.342846,197.053677,Rice
91,1845.593209,26.587929,289.793006,Rice
253,13.244397,19.180579,66.573014,Rice
121,11001.71408,18.863083,136.976088,Rice
244,8302.352273,26.337846,275.884592,Rice
71,492.573905,26.959373,275.375304,Rice
284,0.455575,20.158542,107.600837,Rice
101,0,18.901622,48.065434,Rice
121,347.01328,27.347688,139.687246,Rice
152,18.520923,26.333331,258.959049,Rice
101,558.572276,16.181269,50.020009,Rice
274,1472.811037,19.261173,100.920525,Rice
100,1488.800385,26.145948,225.218491,Rice
139,23617.91205,33.488065,33.64583,Rice
24,1157.608893,9.236208,50.541815,Rice
1,11956.84306,26.154848,230.050211,Rice
286,18883.85811,22.541477,152.562811,Rice
95,2220.396366,13.723253,87.474238,Rice
242,1911.658705,20.121795,116.638302,Rice
97,5963.607413,19.51625,130.297674,Rice
121,2134.478486,19.038935,12.677794,Rice
79,2300.834727,21.136815,121.742322,Rice
92,972.719536,20.557882,129.788124,Rice
105,626.578957,19.357716,124.559707,Rice
81,1000.019953,21.796936,89.852749,Rice
274,1367.643101,16.410093,45.310222,Rice
106,752.275373,27.757793,10.427132,Rice
91,113.514605,23.861945,138.89249,Rice
